output_text=D:/code/cpp/vs/myKCF/joaofaro/joao/run/output_data/20260608_1516.txt
effective_feature_channels=18
Running KCF evaluation
config=D:\code\cpp\vs\myKCF\joaofaro\joao\configs\dut_hog18.yaml
experiment.name=dut_hog18
experiment.description=DUT AUAV video14 image sequence with 18-channel FHOG
input.type=image_sequence
video=
image_dir=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0/video14
image_extension=.jpg
image_start_index=1
image_index_digits=5
annotation=C:/Users/yala5/Desktop/auav_data/dut_auav_data/V0GT/video14_gt.txt
save_video=false
output_video=D:/code/cpp/vs/myKCF/joaofaro/joao/run/dut_output.mp4
fixed_window=false
multiscale=true
hog.enabled=true
hog.channels=18
cn.enabled=false
cn.channels=0
lab.enabled=false
fusion.mode=concat
confidence.enabled=false
confidence.psr_exclusion_radius=5
confidence.eps=0.000
confidence.warmup_frames=5
confidence.ema_alpha=0.050
confidence.medium_ema_alpha=0.000
confidence.high_ratio=0.950
confidence.low_ratio=0.600
confidence.medium_lr_factor=0.300
confidence.low_displacement_threshold=0.500
confidence.low_displacement_damping=0.500
frame=29, load_ms=21.300, kcf_ms=9.590, target=valid, CLE=1.414, IoU=0.872, peak=0.446, PSR=19.444, APCE=27.213, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.045, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=30, load_ms=21.143, kcf_ms=9.613, target=valid, CLE=0.707, IoU=0.862, peak=0.494, PSR=21.658, APCE=37.739, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.026, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=31, load_ms=25.490, kcf_ms=10.118, target=valid, CLE=2.000, IoU=0.765, peak=0.455, PSR=19.013, APCE=33.715, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.034, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=32, load_ms=20.859, kcf_ms=9.422, target=valid, CLE=1.414, IoU=0.791, peak=0.444, PSR=20.370, APCE=40.784, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.067, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=33, load_ms=21.133, kcf_ms=9.531, target=valid, CLE=1.000, IoU=0.617, peak=0.460, PSR=25.637, APCE=39.835, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.024, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=34, load_ms=21.251, kcf_ms=10.121, target=valid, CLE=3.041, IoU=0.609, peak=0.457, PSR=29.896, APCE=42.056, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.062, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=35, load_ms=20.928, kcf_ms=9.109, target=valid, CLE=2.550, IoU=0.583, peak=0.436, PSR=31.327, APCE=38.735, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.042, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=36, load_ms=20.896, kcf_ms=9.880, target=valid, CLE=4.528, IoU=0.536, peak=0.445, PSR=31.054, APCE=30.611, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.031, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=37, load_ms=20.904, kcf_ms=9.627, target=valid, CLE=3.640, IoU=0.531, peak=0.432, PSR=19.402, APCE=23.924, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.087, lr=0.012, action=disabled, template_updated=true, scale_updated=true, ema_updated=false
frame=38, load_ms=21.040, kcf_ms=9.631, target=valid, CLE=4.031, IoU=0.431, peak=0.430, PSR=26.444, APCE=25.034, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.047, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=39, load_ms=20.869, kcf_ms=9.543, target=valid, CLE=7.071, IoU=0.426, peak=0.457, PSR=27.150, APCE=24.943, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.040, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=40, load_ms=21.108, kcf_ms=9.686, target=valid, CLE=3.354, IoU=0.499, peak=0.484, PSR=32.516, APCE=39.915, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.030, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=41, load_ms=21.466, kcf_ms=9.534, target=valid, CLE=2.828, IoU=0.595, peak=0.456, PSR=23.318, APCE=33.035, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.054, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=42, load_ms=21.293, kcf_ms=9.465, target=valid, CLE=1.500, IoU=0.635, peak=0.499, PSR=33.787, APCE=47.647, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.025, lr=0.012, action=disabled, template_updated=true, scale_updated=true, ema_updated=false
frame=43, load_ms=21.449, kcf_ms=9.700, target=valid, CLE=1.581, IoU=0.602, peak=0.467, PSR=31.104, APCE=44.029, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.037, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=44, load_ms=21.699, kcf_ms=9.402, target=valid, CLE=3.162, IoU=0.665, peak=0.443, PSR=22.995, APCE=34.680, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.043, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=45, load_ms=21.294, kcf_ms=9.557, target=valid, CLE=4.000, IoU=0.595, peak=0.466, PSR=29.196, APCE=39.962, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.045, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=46, load_ms=21.032, kcf_ms=9.282, target=valid, CLE=2.000, IoU=0.582, peak=0.502, PSR=27.509, APCE=40.075, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.076, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=47, load_ms=21.289, kcf_ms=9.593, target=valid, CLE=0.000, IoU=0.595, peak=0.489, PSR=30.545, APCE=40.304, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.032, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=48, load_ms=21.290, kcf_ms=9.492, target=valid, CLE=2.000, IoU=0.569, peak=0.482, PSR=37.570, APCE=44.892, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.044, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=49, load_ms=20.926, kcf_ms=9.343, target=valid, CLE=1.118, IoU=0.595, peak=0.471, PSR=28.555, APCE=41.679, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.048, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=50, load_ms=20.943, kcf_ms=9.753, target=valid, CLE=2.500, IoU=0.519, peak=0.524, PSR=37.921, APCE=45.369, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.038, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
frame=51, load_ms=20.785, kcf_ms=9.389, target=valid, CLE=3.041, IoU=0.590, peak=0.499, PSR=27.140, APCE=41.118, psr_ema=0.000, apce_ema=0.000, confidence=disabled, displacement_ratio=0.047, lr=0.012, action=disabled, template_updated=true, scale_updated=false, ema_updated=false
